name,address,level,name_clean,is_thrombectomy_center,geocode,latitude,longitude
DIAKOMED - Diakoniekrankenhaus Chemnitzer Land gGmbH,"Limbacher Str. 19b, 09232 Hartmannsdorf, Sachsen",Telemedizinisch vernetzte Stroke Unit,diakomed - diakoniekrankenhaus chemnitzer land ggmbh,False,"Diakomed, 19b, Limbacher Straße, Hartmannsdorf, Mittelsachsen, Sachsen, 09232, Deutschland",50.8830028,12.7926678
Kreiskrankenhaus Freiberg gGmbH,"Donatsring 20, 09599 Freiberg, Sachsen",Regionale Stroke Unit,kreiskrankenhaus freiberg ggmbh,False,"Kreiskrankenhaus Freiberg, 20, Donatsring, Jakobiviertel, Altstadt, Freiberg, Mittelsachsen, Sachsen, 09599, Deutschland",50.9206902,13.3516027
"Charité-Universitätsmedizin Berlin, Campus Mitte (CCM)","Charitéplatz 1, 10117 Berlin, Berlin",Regionale Stroke Unit,charité-universitätsmedizin berlin campus mitte (ccm),True,"Campus Charité Mitte, 1, Charitéplatz, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",52.5258523,13.3777575
Vivantes Klinikum im Friedrichshain,"Matthiasstraße 2, 10249 Berlin, Berlin",Überregionale Stroke Unit,vivantes klinikum im friedrichshain,True,"2, Matthiasstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Deutschland",52.5234091,13.4397117
Evangelisches Krankenhaus Königin Elisabeth Herzberge gGmbH,"Herzbergstr. 79, 10365 Berlin, Berlin",Regionale Comprehensive Stroke Unit,evangelisches krankenhaus königin elisabeth herzberge ggmbh,False,"Evangelisches Krankenhaus Königin Elisabeth Herzberge, 79, Herzbergstraße, Lichtenberg, Berlin, 10365, Deutschland",52.5279222,13.508992
Vivantes Auguste-Viktoria-Klinikum,"Rubensstr. 125, 12157 Berlin, Berlin",Regionale Stroke Unit,vivantes auguste-viktoria-klinikum,False,"Auguste-Viktoria-Klinikum, 125, Rubensstraße, Schöneberg, Steglitz-Zehlendorf, Berlin, Teltow, 12157, Deutschland",52.4624325,13.3463907
Charité Campus Benjamin Franklin,"Hindenburgdamm 30, 12203 Berlin, Berlin",Überregionale Stroke Unit,charité campus benjamin franklin,False,"Charité – Campus Benjamin Franklin, 30, Hindenburgdamm, Lichterfelde West, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12203, Deutschland",52.4419083,13.3205439
Vivantes Klinikum Neukölln,"Rudower Str. 48, 12351 Berlin, Berlin",Überregionale Stroke Unit,vivantes klinikum neukölln,True,"Vivantes Klinikum - Neukölln, 48, Rudower Straße, Buckow 2, Buckow, Neukölln, Berlin, 12351, Deutschland",52.4372244,13.4592239
DRK Kliniken Berlin Köpenick,"Salvador-Allende-Str. 2-8, 12559 Berlin, Berlin",Regionale Stroke Unit,drk kliniken berlin köpenick,True,"Hospiz Köpenick, 2-8, Salvador-Allende-Straße, Siedlung Kämmereiheide, Köpenick, Treptow-Köpenick, Berlin, 12559, Deutschland",52.4389862,13.5944808
BG Klinikum Unfallkrankenhaus Berlin,"Oberfeldstr. 54a, 12683 Berlin, Berlin",Überregionale Stroke Unit,bg klinikum unfallkrankenhaus berlin,True,"54a, Oberfeldstraße, Biesdorf-Nord, Biesdorf, Marzahn-Hellersdorf, Berlin, 12683, Deutschland",52.5255877,13.5568577
Park-Klinik Weißensee GmbH,"Schönstr. 80, 13086 Berlin, Berlin",Regionale Stroke Unit,park-klinik weißensee gmbh,False,"80, Schönstraße, Weißensee, Pankow, Berlin, 13086, Deutschland",52.554916,13.4518485
HELIOS Klinikum Berlin-Buch,"Theodor-Brugsch-Straße 40, 13125 Berlin, Berlin",Überregionale Stroke Unit,helios klinikum berlin-buch,True,"40, Theodor-Brugsch-Straße, Buch II, Buch, Pankow, Berlin, 13125, Deutschland",52.6295151,13.5030717
Jüdisches Krankenhaus Berlin,"Heinz-Galinski-Str. 1, 13347 Berlin, Berlin",Überregionale Stroke Unit,jüdisches krankenhaus berlin,True,"Jüdisches Krankenhaus Berlin, 1, Heinz-Galinski-Straße, Gesundbrunnen, Mitte, Berlin, 13347, Deutschland",52.5553772,13.3702144
"Charité, Campus Virchow-Klinikum","Augustenburger Platz 1, 13353 Berlin, Berlin",Überregionale Stroke Unit,charité campus virchow-klinikum,False,"Deutsches Herzzentrum der Charité - Standort Augustenburger Platz, 1, Augustenburger Platz, Brüsseler Kiez, Wedding, Mitte, Berlin, 13353, Deutschland",52.5422251,13.3473481
Vivantes Humboldt-Klinikum,"Am Nordgraben 2, 13509 Berlin, Berlin",Überregionale Stroke Unit,vivantes humboldt-klinikum,False,"Vivantes Humboldt-Klinikum, 2, Am Nordgraben, Borsigwalde, Reinickendorf, Berlin, 13509, Deutschland",52.589759,13.3077559
Vivantes Klinikum Spandau,"Neue Bergstr. 5, 13585 Berlin, Berlin",Überregionale Stroke Unit,vivantes klinikum spandau,False,"5, Neue Bergstraße, Spandau, Berlin, 13585, Deutschland",52.5497296,13.2026425
Schlosspark-Klinik Charlottenburg,"Heubnerweg 2, 14059 Berlin, Berlin",Überregionale Stroke Unit,schlosspark-klinik charlottenburg,True,"Schlosspark-Klinik, 2, Heubnerweg, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 14059, Deutschland",52.5223226,13.2896786
Klinikum Ernst von Bergmann,"Charlottenstr. 55, 14467 Potsdam, Brandenburg",Überregionale Stroke Unit,klinikum ernst von bergmann,True,"55, Charlottenstraße, Historische Innenstadt, Potsdam, Brandenburg, 14467, Deutschland",52.400309,13.0630757
Alexianer St. Josefs-Krankenhaus Potsdam-Sanssouci,"Allee nach Sanssouci 4, 14471 Potsdam, Brandenburg",Regionale Stroke Unit,alexianer st josefs-krankenhaus potsdam-sanssouci,False,"4, Allee nach Sanssouci, Auf dem Kiewitt, Brandenburger Vorstadt, Potsdam, Brandenburg, 14471, Deutschland",52.4002955,13.0449715
Klinikum Frankfurt (Oder) GmbH,"Am Klinikum 16, 15236 Frankfurt (Oder), Brandenburg",Überregionale Stroke Unit,klinikum frankfurt (oder) gmbh,False,"16, Am Klinikum, Markendorf, Frankfurt (Oder), Jacobsdorf, Brandenburg, 15236, Deutschland",52.2992516,14.4763605
Immanuel Klinik Rüdersdorf,"Seebad 82/83, 15562 Rüdersdorf, Brandenburg",Regionale Stroke Unit,immanuel klinik rüdersdorf,False,"Immanuel Klinik Rüdersdorf, 82-83, Seebad, Seebad Rüdersdorf, Rüdersdorf, Rüdersdorf bei Berlin, Fredersdorf-Vogelsdorf, Märkisch-Oderland, Brandenburg, 15562, Deutschland",52.4546413,13.7728508
Asklepios Fachklinikum Lübben,"Luckauer Str. 17, 15907 Lübben, Brandenburg",Regionale Stroke Unit,asklepios fachklinikum lübben,False,"Asklepios Fachklinikum Lübben, 17, Luckauer Straße, Lübben (Spreewald), Dahme-Spreewald, Brandenburg, 15907, Deutschland",51.9357225,13.8867272
GLG Martin Gropius Krankenhaus GmbH,"Rudolf-Breitscheid-Str. 81, 16225 Eberswalde, Brandenburg",Überregionale Stroke Unit,glg martin gropius krankenhaus gmbh,True,"81, Rudolf-Breitscheid-Straße, Eberswalde 1, Eberswalde, Barnim, Brandenburg, 16225, Deutschland",52.8279421,13.797554
Oberhavel Klinik Hennigsdorf,"Marwitzer Str. 91, 16761 Hennigsdorf, Brandenburg",Regionale Stroke Unit,oberhavel klinik hennigsdorf,False,"Oberhavelklinik Hennigsdorf, 91, Marwitzer Straße, Hennigsdorf, Oberhavel, Brandenburg, 16761, Deutschland",52.6557823,13.1913924
Universitätsklinikum Ruppin-Brandenburg,"Fehrbelliner Str. 109A, 16816 Neuruppin, Brandenburg",Regionale Stroke Unit,universitätsklinikum ruppin-brandenburg,False,"109 A, Fehrbelliner Straße, Bütow, Neuruppin, Ostprignitz-Ruppin, Brandenburg, 16816, Deutschland",52.9087011,12.8025077
Dietrich-Bonhoeffer-Klinikum,"Salvador-Allende-Str. 55, 17036 Neubrandenburg, Mecklenburg-Vorpommern",Überregionale Stroke Unit,dietrich-bonhoeffer-klinikum,False,"55, Salvador-Allende-Straße, Oststadt, Neubrandenburg, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17036, Deutschland",53.5464445,13.2971619
AMEOS Klinikum Ueckermünde,"Ravensteinstr. 23, 17373 Ueckermünde, Mecklenburg-Vorpommern",Regionale Stroke Unit,ameos klinikum ueckermünde,False,"AMEOS Diakonie-Klinikum Ueckermünde, 23, Ravensteinstraße, Ueckermünde, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17373, Deutschland",53.7407362,14.0220984
Universitätsmedizin Greifswald,"Ferdinand-Sauerbruch-Str., 17489 Greifswald, Mecklenburg-Vorpommern",Überregionale Stroke Unit,universitätsmedizin greifswald,True,"Ferdinand-Sauerbruch-Straße, Nördliche Mühlenvorstadt, Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17489, Deutschland",54.086646,13.4072372
Universitätsmedizin Rostock - Campus Schillingallee,"Strempelstraße 1, 18057 Rostock, Mecklenburg-Vorpommern",Überregionale Stroke Unit,universitätsmedizin rostock - campus schillingallee,True,"1, Strempelstraße, Thünenviertel, Hansaviertel, Rostock, Mecklenburg-Vorpommern, 18057, Deutschland",54.0866246,12.1022833
KMG Klinikum Güstrow GmbH,"Friedrich-Trendelenburg-Allee 1, 18273 Güstrow, Mecklenburg-Vorpommern",Regionale Stroke Unit,kmg klinikum güstrow gmbh,False,"1, Friedrich-Trendelenburg-Allee, Distelberg, Suckow, Güstrow, Landkreis Rostock, Mecklenburg-Vorpommern, 18273, Deutschland",53.8109937,12.2003523
HELIOS Hanseklinikum Stralsund GmbH,"Große Parower Str. 47-53, 18435 Stralsund, Mecklenburg-Vorpommern",Überregionale Stroke Unit,helios hanseklinikum stralsund gmbh,False,"HELIOS Hanseklinikum Stralsund, 47-53, Große Parower Straße, Kniepervorstadt, Knieper, Stralsund, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18435, Deutschland",54.3284098,13.0816926
Sana-Krankenhaus Rügen GmbH,"Calandstr. 7/8, 18528 Bergen auf Rügen, Mecklenburg-Vorpommern",Telemedizinisch vernetzte Stroke Unit,sana-krankenhaus rügen gmbh,False,"Sana-Krankenhaus Rügen, 7-8, Calandstraße, Bergen Süd, Bergen auf Rügen, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18528, Deutschland",54.4196619,13.4289453
HELIOS Kliniken Schwerin GmbH,"Wismarsche Str. 393-397, 19055 Schwerin, Mecklenburg-Vorpommern",Überregionale Stroke Unit,helios kliniken schwerin gmbh,True,"Helios Kliniken Schwerin, 393-397, Wismarsche Straße, Sachsenberg, Lewenberg, Schwerin, Mecklenburg-Vorpommern, 19055, Deutschland",53.6514219,11.4082224
MEDICLIN Krankenhaus Plau am See,"Quetziner Str. 88, 19395 Plau am See, Mecklenburg-Vorpommern",Überregionale Stroke Unit,mediclin krankenhaus plau am see,False,"MediClin Krankenhaus Plau am See, 88, Quetziner Straße, Plau am See, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19395, Deutschland",53.4784696,12.2843483
Asklepios Klinik St. Georg,"Lohmühlenstr. 1, 20099 Hamburg, Hamburg",Überregionale Stroke Unit,asklepios klinik st georg,False,"1, Lohmühlenstraße, St. Georg, Hamburg-Mitte, Hamburg, 20099, Deutschland",53.5609898,10.0141156
Universitätsklinikum Hamburg-Eppendorf,"Butenfeld 31, 20246 Hamburg, Hamburg",Überregionale Stroke Unit,universitätsklinikum hamburg-eppendorf,True,"31, Butenfeld, Lokstedt, Eimsbüttel, Hamburg, 22529, Deutschland",53.592422,9.9707057
Agaplesion Bethesda Krankenhaus Bergedorf gGmbH,"Glindersweg 80, 21029 Hamburg, Hamburg",Regionale Stroke Unit,agaplesion bethesda krankenhaus bergedorf ggmbh,False,"Bethesda Krankenhaus Bergedorf, 80, Glindersweg, Bergedorf, Hamburg, 21029, Deutschland",53.4857786,10.2360022
Asklepios Klinikum Harburg,"Eißendorfer Pferdeweg 52, 21075 Hamburg, Hamburg",Überregionale Stroke Unit,asklepios klinikum harburg,True,"Gebäude 2, 52, Eißendorfer Pferdeweg, Heimfeld, Harburg, Hamburg, 21075, Deutschland",53.4606785,9.9503979
Krankenhaus Buchholz,"Steinbecker Str. 44, 21244 Buchholz, Niedersachsen",Regionale Stroke Unit,krankenhaus buchholz,False,"Krankenhaus Buchholz in der Nordheide, 44, Steinbecker Straße, Steinbeck, Buchholz in der Nordheide, Harburg, Niedersachsen, 21244, Deutschland",53.3332728,9.8716353
Städtisches Klinikum Lüneburg gGmbH,"Bögelstr. 24, 21339 Lüneburg, Niedersachsen",Überregionale Stroke Unit,städtisches klinikum lüneburg ggmbh,True,"24, Bögelstraße, Mittelfeld, Lüneburg, Niedersachsen, 21339, Deutschland",53.2412017,10.3959525
Krankenhaus Winsen,"Friedrich-Lichtenauer-Allee 1, 21423 Winsen (Luhe), Niedersachsen",Telemedizinisch vernetzte Stroke Unit,krankenhaus winsen,False,"Krankenhaus Winsen, 1, Friedrich-Lichtenauer-Allee, Roydorf, Winsen (Luhe), Harburg, Niedersachsen, 21423, Deutschland",53.3505593,10.2001667
Elbe Kliniken Stade-Buxtehude gGmbH,"Bremervörder Str. 118, 21682 Stade, Niedersachsen",Regionale Stroke Unit,elbe kliniken stade-buxtehude ggmbh,False,"118, Bremervörder Straße, Hahle, Stade, Niedersachsen, 21682, Deutschland",53.597637,9.4414813
Asklepios Klinik Wandsbek,"Alphonsstr. 14, 22043 Hamburg, Hamburg",Überregionale Stroke Unit,asklepios klinik wandsbek,False,"Asklepios Klinik Wandsbek, 14, Alphonsstraße, Marienthal, Wandsbek, Hamburg, 22043, Deutschland",53.5699008,10.0880663
Kath. Marienkrankenhaus Hamburg gGmbH,"Alfredstr. 9, 22087 Hamburg, Hamburg",Regionale Stroke Unit,kath marienkrankenhaus hamburg ggmbh,False,"Marienkrankenhaus, 9, Alfredstraße, Hohenfelde, Hamburg-Nord, Hamburg, 22087, Deutschland",53.559033,10.0307399
Asklepios Klinik Barmbek,"Zwanckweg 1, 22307 Hamburg, Hamburg",Überregionale Stroke Unit,asklepios klinik barmbek,True,"1, Zwanckweg, Ohlsdorf, Hamburg-Nord, Hamburg, 22337, Deutschland",53.6084111,10.0356562
Asklepios Klinik Nord - Heidberg,"Tangstedter Landstr. 400, 22417 Hamburg, Hamburg",Überregionale Stroke Unit,asklepios klinik nord - heidberg,False,"Asklepios Klinik Nord Heidberg, 400, Tangstedter Landstraße, Langenhorn, Hamburg-Nord, Hamburg, 22417, Deutschland",53.6741411,10.0301284
Albertinen Krankenhaus,"Süntelstr. 11a, 22457 Hamburg, Hamburg",Regionale Stroke Unit,albertinen krankenhaus,False,"Albertinen Krankenhaus, 11a, Süntelstraße, Schnelsen, Eimsbüttel, Hamburg, 22457, Deutschland",53.6308503,9.9047575
Asklepios Klinik Altona,"Paul-Ehrlich-Str. 1, 22763 Hamburg, Hamburg",Überregionale Stroke Unit,asklepios klinik altona,True,"Asklepios Klinik Altona, 1, Paul-Ehrlich-Straße, Othmarschen, Altona, Hamburg, 22763, Deutschland",53.5549245,9.9023394
"Universitätsklinikum Schleswig-Holstein, Campus Lübeck","Stadtweide 14, 23562 Lübeck, Schleswig-Holstein",Überregionale Stroke Unit,universitätsklinikum schleswig-holstein campus lübeck,True,"14, Stadtweide, Strecknitz, Sankt Jürgen, Lübeck, Schleswig-Holstein, 23562, Deutschland",53.8403127,10.7058554
Sana Kliniken Lübeck GmbH,"Kronsforder Allee 71-73, 23560 Lübeck, Schleswig-Holstein",Überregionale Stroke Unit,sana kliniken lübeck gmbh,True,"71-73, Kronsforder Allee, In Süd, Hüxtertor / Mühlentor / Gärtnergasse, Sankt Jürgen, Lübeck, Schleswig-Holstein, 23560, Deutschland",53.8488706,10.6879537
Schön Klinik Neustadt,"Bültsaal 66, 23730 Neustadt in Holstein, Schleswig-Holstein",Regionale Stroke Unit,schön klinik neustadt,True,"66, Bültsaal, Neustadt in Holstein, Kreis Ostholstein, Schleswig-Holstein, 23730, Deutschland",54.0929809,10.8288892
AMEOS Klinikum Oldenburg,"Mühlenkamp 5, 23758 Oldenburg in Holstein, Schleswig-Holstein",Regionale Stroke Unit,ameos klinikum oldenburg,False,"AMEOS Klinikum Oldenburg, 5, Mühlenkamp, Oldenburg in Holstein, Kreis Ostholstein, Schleswig-Holstein, 23758, Deutschland",54.2900511,10.8799957
Segeberger Kliniken,"Krankenhausstr. 2, 23795 Bad Segeberg, Schleswig-Holstein",Regionale Stroke Unit,segeberger kliniken,False,"Allgemeine Klinik Bad Segeberg, 2, Krankenhausstraße, Bad Segeberg, Kreis Segeberg, Schleswig-Holstein, 23795, Deutschland",53.9412295,10.3090167
Sana HANSE-Klinikum Wismar GmbH,"Friedrich-Wolf-Straße 26, 23966 Wismar, Mecklenburg-Vorpommern",Regionale Stroke Unit,sana hanse-klinikum wismar gmbh,False,"26, Friedrich-Wolf-Straße, Dammhusen, Friedenshof, Wismar, Nordwestmecklenburg, Mecklenburg-Vorpommern, 23966, Deutschland",53.8858997,11.4397824
"Universitätsklinikum Schleswig-Holstein, Campus Kiel","Arnold-Heller-Str. 3, 24105 Kiel, Schleswig-Holstein",Überregionale Stroke Unit,universitätsklinikum schleswig-holstein campus kiel,True,"Klinik für Augenheilkunde, UK S-H, Campus Kiel, 3, Arnold-Heller-Straße, Düsternbrook, Kiel, Schleswig-Holstein, 24105, Deutschland",54.328446,10.1448833
FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH,"Friesenstr. 11, 24534 Neumünster, Schleswig-Holstein",Regionale Stroke Unit,fek - friedrich-ebert-krankenhaus neumünster gmbh,True,"Friedrich-Ebert-Krankenhaus, 11, Friesenstraße, Innenstadt, Neumünster, Schleswig-Holstein, 24534, Deutschland",54.0652666,9.9929898
Schön Klinik Rendsburg,"Lilienstr. 20-28, 24768 Rendsburg, Schleswig-Holstein",Überregionale Stroke Unit,schön klinik rendsburg,True,"Schön Klinik Rendsburg, 20-28, Lilienstraße, Neuwerk, Rendsburg-Mitte, Rendsburg, Kreis Rendsburg-Eckernförde, Schleswig-Holstein, 24768, Deutschland",54.2972385,9.6578833
HELIOS Klinikum Schleswig,"St. Jürgener Str. 1-3, 24837 Schleswig, Schleswig-Holstein",Regionale Stroke Unit,helios klinikum schleswig,False,"HELIOS Klinikum Schleswig, 1-3, Sankt-Jürgener-Straße, Sankt Jürgen, Schleswig, Kreis Schleswig-Flensburg, Schleswig-Holstein, 24837, Deutschland",54.5250901,9.5658283
DIAKO Krankenhaus Flensburg,"Knuthstr. 14, 24939 Flensburg, Schleswig-Holstein",Überregionale Stroke Unit,diako krankenhaus flensburg,True,"14, Knuthstraße, Duburg, Neustadt, Flensburg, Schleswig-Holstein, 24939, Deutschland",54.7907097,9.4266277
"Regio Kliniken GmbH, Klinikum Pinneberg","Fahltskamp 74, 25421 Pinneberg, Schleswig-Holstein",Regionale Stroke Unit,regio kliniken gmbh klinikum pinneberg,False,"Regio Klinikum Pinneberg, 74, Fahltskamp, Thesdorf, Pinneberg, Kreis Pinneberg, Schleswig-Holstein, 25421, Deutschland",53.654252,9.8118103
Klinikum Itzehoe,"Robert-Koch-Str. 1, 25524 Itzehoe, Schleswig-Holstein",Regionale Stroke Unit,klinikum itzehoe,False,"1, Robert-Koch-Straße, Tegelhörn, Itzehoe, Kreis Steinburg, Schleswig-Holstein, 25524, Deutschland",53.9438174,9.5055086
